clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
sao-paulo,2016,19,19,32,20,1.6842,1.0526,0.6316,0.6154,0.4737,0.2632,0.2632,0.8421,1.5263,0.6842
sao-paulo,2017,19,19,35,15,1.8421,0.7895,1.0526,0.7000,0.4737,0.4211,0.1053,0.5789,1.5263,0.9474
sao-paulo,2018,19,19,38,25,2.0000,1.3158,0.6842,0.6032,0.5263,0.4211,0.0526,0.6316,1.3158,0.6842
sao-paulo,2019,19,19,36,27,1.8947,1.4211,0.4737,0.5714,0.5263,0.3158,0.1579,0.5789,1.2105,0.6316
sao-paulo,2020,19,19,37,29,1.9474,1.5263,0.4211,0.5606,0.5263,0.3684,0.1053,0.6842,1.5263,0.8421
sao-paulo,2021,19,19,30,18,1.5789,0.9474,0.6316,0.6250,0.3684,0.4737,0.1579,0.1579,0.9474,0.7895
sao-paulo,2022,19,19,30,24,1.5789,1.2632,0.3158,0.5556,0.4211,0.3158,0.2632,0.5789,1.6842,1.1053
sao-paulo,2023,19,19,42,11,2.2105,0.5789,1.6316,0.7925,0.6842,0.1579,0.1579,0.8421,1.5263,0.6842
sao-paulo,2024,19,19,39,20,2.0526,1.0526,1.0000,0.6610,0.6316,0.1579,0.2105,0.6842,1.6316,0.9474
sport,2007,19,19,38,13,2.0000,0.6842,1.3158,0.7451,0.5789,0.2632,0.1579,0.8947,2.1053,1.2105
sport,2008,19,19,39,13,2.0526,0.6842,1.3684,0.7500,0.5789,0.3158,0.1053,0.9474,1.7895,0.8421
sport,2009,19,19,24,7,1.2632,0.3684,0.8947,0.7742,0.3684,0.1579,0.4737,-0.0526,1.4737,1.5263
sport,2012,19,19,27,14,1.4211,0.7368,0.6842,0.6585,0.3684,0.3158,0.3158,-0.1579,1.1579,1.3158
sport,2014,19,19,36,16,1.8947,0.8421,1.0526,0.6923,0.5263,0.3158,0.1579,0.3684,1.2105,0.8421
sport,2015,19,19,44,15,2.3158,0.7895,1.5263,0.7458,0.6842,0.2632,0.0526,1.2632,1.7368,0.4737
sport,2016,19,19,35,12,1.8421,0.6316,1.2105,0.7447,0.5263,0.2632,0.2105,0.5789,1.7368,1.1579
sport,2017,19,19,28,17,1.4737,0.8947,0.5789,0.6222,0.3684,0.3684,0.2632,0.3158,1.4211,1.1053
sport,2018,19,19,30,12,1.5789,0.6316,0.9474,0.7143,0.4211,0.3158,0.2632,0.1053,1.0000,0.8947
sport,2020,19,19,26,16,1.3684,0.8421,0.5263,0.6190,0.4211,0.1053,0.4737,-0.2105,1.0000,1.2105
sport,2021,19,19,22,16,1.1579,0.8421,0.3158,0.5789,0.2632,0.3684,0.3684,0.0000,0.6842,0.6842
vasco,2003,23,23,40,14,1.7391,0.6087,1.1304,0.7407,0.4783,0.3043,0.2174,0.2609,1.3913,1.1304
vasco,2004,23,23,33,21,1.4348,0.9130,0.5217,0.6111,0.3913,0.2609,0.3478,0.2609,1.4783,1.2174
vasco,2005,21,21,39,17,1.8571,0.8095,1.0476,0.6964,0.5238,0.2857,0.1905,0.6190,2.0000,1.3810
vasco,2006,19,19,33,26,1.7368,1.3684,0.3684,0.5593,0.4211,0.4737,0.1053,0.5789,1.5789,1.0000
vasco,2007,19,19,36,18,1.8947,0.9474,0.9474,0.6667,0.5789,0.1579,0.2632,1.1579,2.1053,0.9474
vasco,2008,19,19,25,15,1.3158,0.7895,0.5263,0.6250,0.3684,0.2105,0.4211,0.2632,1.8947,1.6316
vasco,2010,19,19,36,13,1.8947,0.6842,1.2105,0.7347,0.4737,0.4737,0.0526,0.6842,1.7368,1.0526
vasco,2011,19,19,40,29,2.1053,1.5263,0.5789,0.5797,0.5789,0.3684,0.0526,1.0526,1.6842,0.6316
vasco,2012,19,19,31,27,1.6316,1.4211,0.2105,0.5345,0.4737,0.2105,0.3158,0.0526,1.4737,1.4211
vasco,2013,19,19,29,15,1.5263,0.7895,0.7368,0.6591,0.4211,0.2632,0.3158,0.1579,1.3684,1.2105
vasco,2015,19,19,21,20,1.1053,1.0526,0.0526,0.5122,0.2632,0.3158,0.4211,-0.5263,0.6842,1.2105
vasco,2017,19,19,31,25,1.6316,1.3158,0.3158,0.5536,0.4211,0.3684,0.2105,0.0000,1.1053,1.1053
vasco,2018,19,19,32,11,1.6842,0.5789,1.1053,0.7442,0.4737,0.2632,0.2632,0.2632,1.5263,1.2632
vasco,2019,19,19,27,22,1.4211,1.1579,0.2632,0.5510,0.3684,0.3158,0.3158,-0.1053,1.0526,1.1579
vasco,2020,19,19,26,15,1.3684,0.7895,0.5789,0.6341,0.3684,0.2632,0.3684,0.0000,1.1053,1.1053
vasco,2023,19,19,29,16,1.5263,0.8421,0.6842,0.6444,0.4737,0.1053,0.4211,0.0526,1.2632,1.2105
vasco,2024,19,19,35,15,1.8421,0.7895,1.0526,0.7000,0.5263,0.2632,0.2105,0.2632,1.5263,1.2632
vitoria,2003,23,23,38,18,1.6522,0.7826,0.8696,0.6786,0.4783,0.2174,0.3043,0.0870,1.3043,1.2174
vitoria,2004,23,23,41,7,1.7826,0.3043,1.4783,0.8542,0.5217,0.2174,0.2609,0.7391,2.1739,1.4348
vitoria,2008,19,19,38,14,2.0000,0.7368,1.2632,0.7308,0.5789,0.2632,0.1579,1.0526,1.8421,0.7895
vitoria,2009,19,19,38,10,2.0000,0.5263,1.4737,0.7917,0.5789,0.2632,0.1579,0.7895,2.0526,1.2632
vitoria,2010,19,19,29,13,1.5263,0.6842,0.8421,0.6905,0.3684,0.4211,0.2105,0.2632,1.5263,1.2632
vitoria,2013,19,19,39,20,2.0526,1.0526,1.0000,0.6610,0.5789,0.3158,0.1053,0.6316,1.6842,1.0526
vitoria,2014,19,19,23,15,1.2105,0.7895,0.4211,0.6053,0.3158,0.2632,0.4211,0.0526,1.2105,1.1579
vitoria,2016,19,19,28,17,1.4737,0.8947,0.5789,0.6222,0.4211,0.2105,0.3684,0.3158,1.5789,1.2632
vitoria,2017,19,19,14,29,0.7368,1.5263,-0.7895,0.3256,0.1579,0.2632,0.5789,-0.4737,1.1579,1.6316
vitoria,2018,19,19,26,11,1.3684,0.5789,0.7895,0.7027,0.3684,0.2632,0.3684,-0.1053,1.1579,1.2632
vitoria,2024,19,19,27,20,1.4211,1.0526,0.3684,0.5745,0.4211,0.1579,0.4211,0.0000,1.2105,1.2105
