clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
internacional,2003,23,23,46,24,2.0000,1.0435,0.9565,0.6571,0.5652,0.3043,0.1304,0.6957,1.3913,0.6957
internacional,2004,23,23,49,18,2.1304,0.7826,1.3478,0.7313,0.6522,0.1739,0.1739,1.1304,1.8696,0.7391
internacional,2005,21,21,45,33,2.1429,1.5714,0.5714,0.5769,0.6667,0.1429,0.1905,0.8095,1.8571,1.0476
internacional,2006,19,19,36,33,1.8947,1.7368,0.1579,0.5217,0.5263,0.3158,0.1579,0.5263,1.3684,0.8421
internacional,2007,19,19,38,16,2.0000,0.8421,1.1579,0.7037,0.6316,0.1053,0.2632,0.5789,1.4211,0.8421
internacional,2008,19,19,43,11,2.2632,0.5789,1.6842,0.7963,0.6842,0.2105,0.1053,1.0526,1.6316,0.5789
internacional,2009,19,19,40,25,2.1053,1.3158,0.7895,0.6154,0.6316,0.2105,0.1579,1.2632,2.1579,0.8947
internacional,2010,19,19,34,24,1.7895,1.2632,0.5263,0.5862,0.4737,0.3684,0.1579,0.5263,1.3158,0.7895
internacional,2011,19,19,36,24,1.8947,1.2632,0.6316,0.6000,0.5263,0.3158,0.1579,0.5789,1.7895,1.2105
internacional,2012,19,19,31,21,1.6316,1.1053,0.5263,0.5962,0.4737,0.2105,0.3158,0.4737,1.4737,1.0000
internacional,2013,19,19,28,20,1.4737,1.0526,0.4211,0.5833,0.3684,0.3684,0.2632,0.3158,1.5789,1.2632
internacional,2014,19,19,45,24,2.3684,1.2632,1.1053,0.6522,0.7895,0.0000,0.2105,1.1053,1.9474,0.8421
internacional,2015,19,19,45,15,2.3684,0.7895,1.5789,0.7500,0.7368,0.1579,0.1053,1.0000,1.4737,0.4737
internacional,2016,19,19,32,11,1.6842,0.5789,1.1053,0.7442,0.4737,0.2632,0.2632,0.3158,1.1053,0.7895
internacional,2018,19,19,46,23,2.4211,1.2105,1.2105,0.6667,0.7368,0.2105,0.0526,1.1579,1.6842,0.5263
internacional,2019,19,19,39,18,2.0526,0.9474,1.1053,0.6842,0.5789,0.3158,0.1053,0.6842,1.4737,0.7895
internacional,2020,19,19,41,29,2.1579,1.5263,0.6316,0.5857,0.6316,0.2632,0.1053,0.8947,1.7895,0.8947
internacional,2021,19,19,30,18,1.5789,0.9474,0.6316,0.6250,0.4211,0.3158,0.2632,0.3684,1.5263,1.1579
internacional,2022,19,19,44,29,2.3158,1.5263,0.7895,0.6027,0.6842,0.2632,0.0526,1.3684,2.1053,0.7368
internacional,2023,19,19,32,23,1.6842,1.2105,0.4737,0.5818,0.4737,0.2632,0.2632,0.4737,1.5789,1.1053
internacional,2024,19,19,38,27,2.0000,1.4211,0.5789,0.5846,0.5789,0.2632,0.1579,0.7895,1.5789,0.7895
ipatinga,2008,19,19,30,5,1.5789,0.2632,1.3158,0.8571,0.4737,0.1579,0.3684,0.1579,1.4737,1.3158
joinville,2015,19,19,25,6,1.3158,0.3158,1.0000,0.8065,0.3158,0.3684,0.3158,0.1053,1.0000,0.8947
juventude,2003,23,23,37,13,1.6087,0.5652,1.0435,0.7400,0.3913,0.4348,0.1739,0.5652,1.5652,1.0000
juventude,2004,23,23,37,33,1.6087,1.4348,0.1739,0.5286,0.4348,0.3043,0.2609,0.3043,1.3913,1.0870
juventude,2005,21,21,41,14,1.9524,0.6667,1.2857,0.7455,0.5714,0.2381,0.1905,0.6190,1.7143,1.0952
juventude,2006,19,19,39,8,2.0526,0.4211,1.6316,0.8298,0.5789,0.3158,0.1053,0.6842,1.4737,0.7895
juventude,2007,19,19,29,12,1.5263,0.6316,0.8947,0.7073,0.3684,0.4211,0.2105,0.4211,1.3158,0.8947
juventude,2021,19,19,33,13,1.7368,0.6842,1.0526,0.7174,0.4737,0.3158,0.2105,0.2105,1.0000,0.7895
juventude,2022,19,19,15,7,0.7895,0.3684,0.4211,0.6818,0.1053,0.4737,0.4211,-0.4737,0.9474,1.4211
juventude,2024,19,19,30,15,1.5789,0.7895,0.7895,0.6667,0.4211,0.3158,0.2632,0.1579,1.4211,1.2632
nautico,2007,19,19,31,18,1.6316,0.9474,0.6842,0.6327,0.4737,0.2105,0.3158,0.6316,1.8421,1.2105
nautico,2008,19,19,32,12,1.6842,0.6316,1.0526,0.7273,0.4737,0.2632,0.2632,0.3158,1.4211,1.1053
nautico,2009,19,19,28,10,1.4737,0.5263,0.9474,0.7368,0.4211,0.2105,0.3684,0.2105,1.2632,1.0526
